Zip5,Age,target
10016,61,1
10011,40,1
10011,76,1
10128,30,1
10128,26,1
10011,83,1
11106,30,1
10003,71,1
10003,34,1
11222,36,1
10162,65,1
10162,86,1
11222,35,1
10003,66,1
10003,73,1
11106,35,1
11101,34,1
10009,57,1
10009,77,1
10075,81,1
10075,76,1
10075,25,1
10075,87,1
10019,33,1
10128,69,1
10019,56,1
10014,76,1
10014,54,1
10075,67,1
10028,75,1
10003,25,1
10075,27,1
11109,33,1
10028,27,1
10028,38,1
10009,28,1
11222,34,1
10011,37,1
10011,29,1
10019,65,1
10021,42,1
10011,71,1
10011,30,1
10028,30,1
10011,37,1
10011,32,1
11222,38,1
10021,41,1
10003,29,1
10128,37,1
11101,33,1
10010,65,1
10128,91,1
10003,54,1
10003,38,1
11106,57,1
11106,50,1
11106,21,1
10044,77,1
10044,33,1
10128,29,1
10128,33,1
10044,55,1
10009,90,1
10003,58,1
11222,36,1
11222,40,1
11101,44,1
10011,69,1
10011,33,1
11222,42,1
11222,35,1
11222,41,1
10003,36,1
10128,66,1
10128,30,1
10010,37,1
10010,87,1
11109,38,1
11109,37,1
10019,33,1
11106,38,1
10075,42,1
10019,64,1
11101,73,1
11101,43,1
10013,26,1
10003,62,1
11106,31,1
11106,27,1
11106,35,1
11106,22,1
10011,45,1
10011,49,1
11222,33,1
11101,31,1
11101,80,1
10128,66,1
10128,55,1
10128,64,1
10022,91,1
10021,27,1
10021,31,1
10009,65,1
10003,34,1
11222,37,1
10001,74,1
10001,93,1
10001,36,1
10028,61,1
11222,38,1
11222,34,1
11222,34,1
10011,56,1
10016,67,1
10128,31,1
10011,65,1
10003,34,1
10003,58,1
10017,34,1
11106,56,1
11106,31,1
10024,61,1
10024,26,1
10024,31,1
10001,95,1
10001,26,1
10001,44,1
10001,42,1
10001,67,1
10028,35,1
10003,46,1
10128,34,1
10009,69,1
10009,38,1
10003,83,1
11101,35,1
10017,87,1
10017,68,1
11102,40,1
11102,34,1
11106,26,1
11106,29,1
10003,31,1
10044,40,1
10012,54,1
10010,67,1
10128,37,1
10128,36,1
11106,31,1
11106,68,1
11106,39,1
10065,31,1
10065,48,1
10065,34,1
10028,55,1
10009,76,1
10011,53,1
10128,69,1
10128,77,1
10028,34,1
10028,41,1
10075,36,1
10003,68,1
11101,68,1
10029,72,1
10016,76,1
10128,34,1
11222,36,1
10075,32,1
11222,35,1
11222,40,1
10009,85,1
10009,30,1
10028,76,1
10028,89,1
10044,75,1
10044,84,1
10044,38,1
10128,43,1
10128,23,1
11101,37,1
11101,36,1
10011,49,1
10011,59,1
10011,42,1
10011,33,1
10075,41,1
10075,27,1
11222,41,1
11222,35,1
10016,52,1
10022,47,1
11101,21,1
10019,54,1
10009,29,1
10019,67,1
10019,72,1
10019,39,1
11101,36,1
11101,49,1
11106,31,1
10128,22,1
10012,60,1
10022,51,1
11222,38,1
10065,74,1
10011,61,1
10009,30,1
11222,42,1
11222,29,1
11101,44,1
11101,47,1
11106,63,1
10010,75,1
10028,64,1
10028,24,1
10019,61,1
11101,66,1
10029,31,1
10016,80,1
10044,58,1
10021,80,1
10128,32,1
10001,43,1
10001,36,1
10075,34,1
10009,85,1
10009,52,1
10009,39,1
11106,42,1
11222,39,1
10010,67,1
10010,83,1
11222,33,1
11222,34,1
11106,35,1
11106,56,1
10010,50,1
11106,35,1
11106,21,1
11106,39,1
10075,35,2
10075,40,2
10012,64,2
10016,35,2
10028,72,2
10011,59,2
10011,65,2
10011,58,2
10011,65,2
10011,67,2
10128,71,2
10016,29,2
10128,35,2
10128,37,2
11106,37,2
10010,66,2
10128,90,2
10024,73,2
10024,66,2
10024,28,2
10065,48,2
10065,46,2
11222,46,2
11222,40,2
11222,50,2
11222,44,2
11222,45,2
11222,62,2
11222,52,2
11222,42,2
11222,31,2
11222,35,2
11222,35,2
11222,38,2
11222,29,2
10028,38,2
11222,53,2
11222,38,2
11222,39,2
11222,33,2
11222,35,2
11222,33,2
10003,77,2
10003,70,2
10003,60,2
10014,31,2
11106,41,2
11101,65,2
11101,57,2
11101,73,2
10028,35,2
10128,31,2
10128,38,2
10010,40,2
10009,56,2
10009,29,2
10075,84,2
10075,65,2
10128,32,2
10028,30,2
10022,37,2
10013,29,2
10010,32,2
10128,73,2
11106,23,2
10014,65,2
10014,33,2
10016,71,2
10016,28,2
10024,64,2
11109,58,2
10011,63,2
10036,31,2
10029,78,2
10003,56,2
10003,73,2
10003,67,2
10003,24,2
10009,50,2
10022,78,2
10022,54,2
10021,68,2
10128,30,2
10028,84,2
10028,38,2
10009,58,2
11222,34,2
11222,35,2
10021,41,2
10011,67,2
10065,84,2
10019,70,2
10065,64,2
10011,55,2
10011,74,2
10010,74,2
10010,72,2
10010,57,2
10010,36,2
10010,40,2
10010,57,2
11222,42,2
11222,53,2
10019,63,2
10009,53,2
10009,32,2
10021,48,2
10075,46,2
10014,63,2
10014,79,2
10014,51,2
10028,83,2
10029,38,2
10010,32,2
10010,23,2
10016,51,2
10003,77,2
10023,77,2
10023,60,2
10001,64,2
11106,50,2
11222,59,2
11222,33,2
10044,42,2
10044,66,2
10128,52,2
11101,30,2
10003,52,2
10003,50,2
10003,31,2
10023,82,2
10023,65,2
10023,35,2
10009,78,2
10003,77,2
10003,58,2
10003,36,2
10003,33,2
11222,38,2
11222,34,2
10016,35,2
11101,64,2
11101,40,2
10011,44,2
10065,33,2
10011,76,2
10011,58,2
10011,53,2
10003,34,2
10014,35,2
10010,51,2
10010,36,2
11109,38,2
10019,57,2
10019,60,2
10019,74,2
10029,42,2
10016,91,2
10016,33,2
10075,81,2
10075,67,2
10019,77,2
11101,50,2
11101,26,2
11101,42,2
10028,34,2
10011,73,2
10011,64,2
10029,45,2
10021,65,2
10021,62,2
10021,67,2
10013,62,2
10014,55,2
10003,72,2
10128,33,2
10128,31,2
10128,43,2
10128,33,2
10128,29,2
11222,33,2
10021,70,2
10021,27,2
11106,55,2
11106,35,2
11106,36,2
10028,53,2
10028,77,2
10028,69,2
10028,65,2
10016,35,2
10016,37,2
10011,64,2
10011,69,2
10011,58,2
10001,40,2
10022,33,2
10017,77,2
10036,69,2
10036,69,2
10011,31,2
10023,36,2
11101,47,2
10003,57,2
10128,51,2
10128,41,2
10128,45,2
10021,34,2
10011,69,2
10011,46,2
10003,31,2
10003,67,2
10009,47,2
10011,54,2
10011,74,2
10011,69,2
10011,30,2
10003,81,2
10128,32,2
10128,41,2
10029,45,2
10001,82,2
10001,67,2
10001,40,2
10028,75,2
11101,47,2
10021,83,2
10011,74,2
10036,79,2
10128,80,2
10128,92,2
10128,24,2
10011,61,2
10003,86,2
10003,75,2
10075,75,2
10017,32,2
10017,42,2
10009,74,2
10009,40,2
11106,72,2
10024,75,2
10028,77,2
10028,75,2
10001,37,2
10001,42,2
11106,32,2
10001,69,2
10001,48,2
10001,48,2
10001,30,2
10001,60,2
10001,23,2
10028,52,2
10012,52,2
10014,69,2
10009,80,2
10009,57,2
10009,36,2
10003,61,2
10003,27,2
10003,70,2
10012,63,2
10012,74,2
10012,36,2
11222,40,2
11222,32,2
10012,63,2
11102,39,2
11102,39,2
11102,37,2
11106,41,2
10128,27,2
10003,74,2
10003,49,2
11222,29,2
10036,37,2
10010,28,2
10128,76,2
11106,42,2
11106,34,2
10022,28,2
10065,71,2
10065,69,2
10009,62,2
10075,34,2
10011,69,2
10011,50,2
10128,75,2
10128,26,2
10022,40,2
10022,34,2
10022,61,2
10021,57,2
10021,63,2
10028,33,2
10075,37,2
10075,36,2
10010,68,2
10003,65,2
10003,72,2
10065,71,2
10128,39,2
10021,30,2
10029,53,2
10028,34,2
11222,34,2
11222,31,2
